,mean_last_epoch_train_loss,mean_last_epoch_train_acc,mean_last_epoch_val_loss,mean_last_epoch_val_acc,cv_iterator_factory_args_batch_search_window,cv_iterator_factory_args_batch_size,model_args_hl1_kernel_num,model_args_hl1_kernels,optimizer_args_lr
23,0.6613873175854953,0.6172237019217001,0.6665701709442855,0.623637695759685,9,111,7,"[[1, 300]]",0.25271941318159075
24,0.6222691086103331,0.6572368496463818,0.6423188681914428,0.6390237201208901,2,217,16,"[[17, 300]]",2.8862739975821228e-08
25,0.5875450416847512,0.6901275416742993,0.6086666443768669,0.6675519736239582,7,598,268,"[[4, 300]]",2.8862740197865833e-08
26,0.5608036048284991,0.7153267539842462,0.601768269258387,0.6748328601520286,6,175,187,"[[5, 300]]",2.8862739975821228e-08
27,0.5906072652564859,0.6888372521050936,0.6026778044524016,0.6729553988460482,3,906,841,"[[2, 300]]",2.8862739975821228e-08
28,0.577971507884838,0.6995328814801246,0.6001470790189856,0.6746954849345178,5,672,663,"[[3, 300]]",2.8862739975821228e-08
29,0.5419905837941944,0.7324945044880015,0.5944163946457851,0.6818847879842477,6,253,790,"[[4, 300]]",2.8862739975821228e-08
30,0.618831346619804,0.656768573986091,0.6309904169153284,0.6461672314314497,6,375,225,"[[19, 300]]",2.8862739975821228e-08
31,0.6049971403899016,0.670629923062832,0.6236874716622489,0.655417162743841,10,995,386,"[[7, 300]]",2.8862739975821228e-08
32,0.5833539591207133,0.6929439915735482,0.6036863571558243,0.6751991940653906,3,576,475,"[[3, 300]]",2.8862739975821228e-08
33,0.5994274414369886,0.6763944861696282,0.608276482203498,0.6672772231889367,5,61,111,"[[1, 300]]",2.886285499492658e-08
34,0.5832579812885802,0.6928867466568969,0.6174340475173223,0.6608205879659309,6,999,914,"[[12, 300]]",2.8862739975821228e-08
35,0.5228857004417563,0.7570227304099756,0.6072553705286097,0.6694294349299387,7,884,994,"[[11, 300]]",2.8862739975821228e-08
36,0.5413652456031656,0.7349583338109376,0.6011438102365654,0.6741459840644748,9,189,998,"[[7, 300]]",2.8862739975821228e-08
37,0.5240658094298165,0.7533416923572448,0.6126964710376881,0.6706658118875355,9,774,778,"[[19, 300]]",2.8862739975821228e-08
38,0.5695252328548791,0.7105668798601206,0.6110336868851273,0.6649418444912538,6,766,269,"[[9, 300]]",2.8862739975821228e-08
39,0.6144040708188657,0.6602056237406119,0.6202356675091911,0.653081784046158,7,617,410,"[[1, 300]]",2.8862739975821228e-08
40,0.5586474530108563,0.7177138670086096,0.6054715865697616,0.6747870684128583,9,530,588,"[[7, 300]]",2.8862739975821228e-08
41,0.5050481160481771,0.7679119344202234,0.6144026587991154,0.6666819305797235,8,591,585,"[[17, 300]]",2.8862739975821228e-08
42,0.4534525962173171,0.8127232551749405,0.5970477822386189,0.6784504075464786,3,90,963,"[[9, 300]]",2.8862739975821228e-08
43,0.5564425998263889,0.7191678878915553,0.6012546314912683,0.6751534023262203,7,623,993,"[[5, 300]]",2.8862739975821228e-08
44,0.5742752706461555,0.6999851163216706,0.5932777913411459,0.6801904936349482,4,71,993,"[[1, 300]]",2.8862739975821228e-08
45,0.5507645456414474,0.7224480216156806,0.6144417210629112,0.6659950544921696,10,119,113,"[[19, 300]]",2.8862739975821228e-08
46,0.5827239774308115,0.6963143606497032,0.603337252581561,0.6712611044967488,6,857,687,"[[3, 300]]",2.8862739975821228e-08
47,0.5017656612248841,0.7659942297124015,0.5808129601266474,0.6921421375583845,6,20,928,"[[3, 300]]",2.8862739975821228e-08
48,0.48074358115179033,0.7843755724491666,0.5830708598042582,0.6892114662514882,3,32,863,"[[3, 300]]",2.8862739975821228e-08
49,0.5109072119719217,0.761071166880381,0.5905748532142168,0.6865097536404433,6,98,893,"[[4, 300]]",2.8862739975821228e-08
50,0.46601488040295713,0.7979655156622092,0.5823229443895948,0.6944775162560674,7,13,870,"[[4, 300]]",2.8862739975821228e-08
51,4.098588505497685,0.5444506777798132,5.282115263097427,0.5150196904478432,6,676,165,"[[7, 300]]",0.28440813660426556
52,0.6009252296303803,0.6776733538857957,0.6124474560772931,0.661186921879293,3,888,472,"[[2, 300]]",2.8862739975821228e-08
53,0.630997794015067,0.6432954753617879,0.6340371994745164,0.6397563879476142,5,979,225,"[[1, 300]]",2.8862739975821228e-08
54,0.5741435863353588,0.7012216065213409,0.5993597928215476,0.6746954849345178,10,716,846,"[[3, 300]]",2.8862739975821228e-08
55,0.5731982465060252,0.70212400132965,0.5943313669935565,0.6817474127667369,9,188,897,"[[2, 300]]",2.8862739975821228e-08
56,0.4925036183391434,0.7731383953104964,0.5770774757469094,0.6958970601703452,5,13,911,"[[2, 300]]",2.8862739975821228e-08
57,0.4876419074019954,0.7796356933504305,0.5809396760360054,0.692050554080044,9,38,920,"[[3, 300]]",2.8862739975821228e-08
58,0.6995063448278699,0.6395917292544422,0.6257601125616776,0.6720395640626431,9,23,903,"[[3, 300]]",0.0017331634894984793
59,0.5895132499828674,0.6873225407583806,0.6068871815999349,0.6696583936257899,6,331,597,"[[3, 300]]",2.8862739975821228e-08
60,0.606278621431849,0.6685175856383954,0.6120513633445457,0.6620111731843575,9,277,327,"[[1, 300]]",2.8862739975821228e-08
61,0.4763530748889104,0.7889036453562923,0.6016312483902816,0.6777635314589248,10,14,905,"[[14, 300]]",2.8862742640356487e-08
62,0.6320494165960348,0.642750579540499,0.636712392171224,0.6394358457734225,6,420,625,"[[1, 300]]",2.8862739975821228e-08
63,0.5255465135506704,0.7490268364169261,0.6029753989361702,0.6723143144976647,3,171,188,"[[10, 300]]",2.8862739975821228e-08
64,0.5800415974742962,0.6984445386916702,0.6119828981773876,0.6699789357999817,3,218,638,"[[7, 300]]",2.8862739975821228e-08
65,0.5489344936700369,0.7227857666239238,0.5884176400991586,0.6871508379888268,4,17,780,"[[1, 300]]",2.8862739975821228e-08
66,0.5430821414340224,0.7278862886975637,0.5834079946510096,0.6909515523399579,9,91,813,"[[2, 300]]",2.911257135362888e-08
67,0.5785215870121716,0.6952795841729255,0.5953868975855195,0.6779009066764355,4,97,855,"[[1, 300]]",2.8862739975821228e-08
